"Time","value","curve"
0,21,"mean"
1,20.4,"mean"
2,21.2,"mean"
3,22.3,"mean"
4,24.1,"mean"
5,27.6,"mean"
6,29.8,"mean"
7,31.8,"mean"
8,37.3,"mean"
9,42.8,"mean"
10,47.9,"mean"
11,54.2,"mean"
12,57.3,"mean"
13,62.4,"mean"
14,63.9,"mean"
15,68,"mean"
16,73,"mean"
17,78.9,"mean"
18,82.1,"mean"
19,82.1,"mean"
20,85.9,"mean"
21,92.7,"mean"
22,97.7,"mean"
23,100.6,"mean"
24,102.1,"mean"
25,104.6,"mean"
26,109.5,"mean"
27,108.9,"mean"
28,114.7,"mean"
29,117.2,"mean"
30,115.9,"mean"
31,120.5,"mean"
32,120.2,"mean"
33,120.5,"mean"
34,120.7,"mean"
35,118.9,"mean"
36,119.2,"mean"
37,117.6,"mean"
38,113.8,"mean"
39,112.4,"mean"
40,110.2,"mean"
41,107.3,"mean"
42,104.1,"mean"
43,102.3,"mean"
44,102.7,"mean"
45,98.1,"mean"
46,96.3,"mean"
47,91.6,"mean"
48,90.4,"mean"
49,85.6,"mean"
50,81.8,"mean"
51,75.8,"mean"
52,74.2,"mean"
53,67.3,"mean"
54,64.5,"mean"
55,64.1,"mean"
56,60.4,"mean"
57,57.6,"mean"
58,52.3,"mean"
59,49.9,"mean"
60,48.4,"mean"
61,46,"mean"
62,42.5,"mean"
63,40,"mean"
64,38.7,"mean"
65,35.2,"mean"
66,33.1,"mean"
67,29.3,"mean"
68,26.6,"mean"
69,27.5,"mean"
70,24.9,"mean"
71,24.7,"mean"
72,23.7,"mean"
73,20.8,"mean"
74,19.2,"mean"
75,17.2,"mean"
76,16.7,"mean"
77,14.6,"mean"
78,13.6,"mean"
79,12.9,"mean"
80,12,"mean"
81,11.6,"mean"
82,10.5,"mean"
83,9.1,"mean"
84,8.4,"mean"
85,7.8,"mean"
86,8.1,"mean"
87,7.7,"mean"
88,6.4,"mean"
89,6.6,"mean"
90,5.9,"mean"
91,5.6,"mean"
92,5.1,"mean"
93,4.8,"mean"
94,4.6,"mean"
95,4.1,"mean"
96,3.7,"mean"
97,2.8,"mean"
98,2.5,"mean"
99,1.9,"mean"
100,1.7,"mean"
101,1.8,"mean"
102,1.3,"mean"
103,1.4,"mean"
104,1,"mean"
105,0.7,"mean"
106,0.6,"mean"
107,0.4,"mean"
108,0.3,"mean"
109,0.2,"mean"
110,0.3,"mean"
111,0.3,"mean"
112,0.4,"mean"
113,0.4,"mean"
114,0.2,"mean"
115,0.1,"mean"
116,0.1,"mean"
117,0.1,"mean"
118,0.3,"mean"
119,0.2,"mean"
